food_id,restaurant_id,food_item,meal_type,veg_nonveg,price_lkr
F0001,R0001,Plain Hoppers,Breakfast,Veg,180
F0002,R0001,Egg Hoppers,Breakfast,NonVeg,240
F0003,R0001,String Hoppers with Sambar,Breakfast,Veg,280
F0004,R0001,Chicken Fried Rice,Lunch,NonVeg,810
F0005,R0001,Vegetable Fried Rice,Lunch,Veg,660
F0006,R0001,Seafood Fried Rice,Lunch,NonVeg,940
F0007,R0001,Chicken Kottu,Dinner,NonVeg,910
F0008,R0001,Vegetable Kottu,Dinner,Veg,720
F0009,R0001,Egg Kottu,Dinner,NonVeg,780
F0010,R0001,Chicken Fried Rice,Lunch,NonVeg,805
F0011,R0002,Idiyappam with Coconut Milk,Breakfast,Veg,320
F0012,R0002,Idli with Sambar,Breakfast,Veg,280
F0013,R0002,Masala Dosa,Breakfast,Veg,400
F0014,R0002,Chicken Biryani,Lunch,NonVeg,1030
F0015,R0002,Vegetable Biryani,Lunch,Veg,760
F0016,R0002,Fish Curry Rice,Lunch,NonVeg,800
F0017,R0002,Cheese Kottu,Dinner,Veg,860
F0018,R0002,Chicken Shawarma,Dinner,NonVeg,700
F0019,R0002,Veg Shawarma,Dinner,Veg,600
F0020,R0002,Veg Shawarma,Dinner,Veg,590
F0021,R0003,Parotta with Dhal Curry,Breakfast,Veg,350
F0022,R0003,Pittu with Coconut,Breakfast,Veg,330
F0023,R0003,Puttu with Banana,Breakfast,Veg,310
F0024,R0003,Dhal Curry Rice,Lunch,Veg,650
F0025,R0003,Mutton Curry Rice,Lunch,NonVeg,1100
F0026,R0003,Nasi Goreng,Lunch,NonVeg,990
F0027,R0003,Grilled Chicken with Salad,Dinner,NonVeg,1250
F0028,R0003,Paneer Wrap,Dinner,Veg,690
F0029,R0003,Parotta with Chicken Curry,Dinner,NonVeg,850
F0030,R0003,Chicken Noodles,Lunch,NonVeg,775
F0031,R0004,Milk Rice with Sambol,Breakfast,Veg,380
F0032,R0004,Bread Omelette,Breakfast,NonVeg,310
F0033,R0004,Chicken Roti,Breakfast,NonVeg,400
F0034,R0004,Veg Noodles,Lunch,Veg,710
F0035,R0004,Chicken Noodles,Lunch,NonVeg,810
F0036,R0004,Paneer Rice Bowl,Lunch,Veg,780
F0037,R0004,Parotta with Veg Kurma,Dinner,Veg,700
F0038,R0004,Chicken Burger Combo,Dinner,NonVeg,910
F0039,R0004,Veg Burger Combo,Dinner,Veg,780
F0040,R0004,Mushroom Pasta,Dinner,Veg,840
F0041,R0005,Vegetable Roti,Breakfast,Veg,300
F0042,R0005,Ulundhu Vadai,Breakfast,Veg,220
F0043,R0005,Poori with Potato Masala,Breakfast,Veg,380
F0044,R0005,Beef Curry Rice,Lunch,NonVeg,990
F0045,R0005,Lemon Rice with Veg Curry,Lunch,Veg,660
F0046,R0005,Egg Fried Rice,Lunch,NonVeg,800
F0047,R0005,Chicken Pizza Personal,Dinner,NonVeg,1390
F0048,R0005,Margherita Pizza Personal,Dinner,Veg,1220
F0049,R0005,Tandoori Chicken Plate,Dinner,NonVeg,1320
F0050,R0005,Vegetable Biryani,Lunch,Veg,795
F0051,R0006,Breakfast Kothu Special,Breakfast,NonVeg,410
F0052,R0006,Plain Hoppers,Breakfast,Veg,180
