room_id,title,area,gender_allowed,room_type,monthly_rent_lkr,rating,distance_to_uoj_km,attached_bath,ac,wifi,max_capacity,budget_range,meals_included,parking,is_available
1,single,Jaffna Town,Boys,Single,6000.00,3.0,0.00,False,False,False,1.0,budget,0,0,1
2,Double room,Jaffna Town,Girls,Single,10000.00,3.0,0.00,False,False,False,1.0,mid,0,0,1
3,Single Room,Jaffna Town,Boys,Single,5000.00,3.0,0.00,False,False,False,1.0,budget,0,0,1
4,Shared room,,Female,Single,8000.00,3.0,0.00,False,False,False,1.0,budget,0,0,1
5,Single Room,,Male,Single,7000.00,3.0,0.00,False,False,False,1.0,budget,0,0,1
6,Shared Room,Jaffna Town,Girls,Single,9000.00,3.0,0.00,False,False,False,1.0,budget,0,0,1
7,Single Room,,Female,Single,10000.00,3.0,0.00,False,False,False,1.0,mid,0,0,1
8,Shared room,Jaffna Town,Girls,Single,6000.00,3.0,0.00,False,False,False,1.0,budget,0,0,1
9,shared Room,Jaffna Town,Girls,Single,7000.00,3.0,0.00,False,False,False,1.0,budget,0,0,1
11,Shared Room,Kokuvil,Boys,Single,8000.00,3.0,0.00,False,False,False,1.0,budget,0,0,1
12,Premium Single Room - Jaffna Town,Kokuvil,Boys,Single,10000.00,4.5,0.00,False,False,False,1.0,mid,0,0,1
13,Budget Triple Room - Nallur,Kokuvil,Boys,Shared,8000.00,4.0,0.00,False,False,False,3.0,budget,0,0,1
14,Deluxe Twin Room - Kokuvil,Kokuvil,Girls,Shared,5000.00,4.6,0.00,False,False,False,2.0,budget,0,0,1
15,Student Economy Room - Chunnakam,Kokuvil,Girls,Shared,7000.00,3.8,0.00,False,False,False,4.0,budget,0,0,1
16,Quiet Single Study Room - Ariyalai,Kokuvil,Boys,Single,8000.00,3.8,0.00,False,False,False,1.0,budget,0,0,1
17,Comfort Shared Room - Kondavil,Kokuvil,Girls,Single,11000.00,4.1,0.00,False,False,False,1.0,mid,0,0,1
18,Safe Female Twin Stay - Uduvil,Kokuvil,Girls,Single,7000.00,4.5,0.00,False,False,False,1.0,budget,0,0,1
19,Economy Family Style Room - Tellippalai,Kokuvil,Boys,Single,11000.00,4.0,0.00,False,False,False,1.0,mid,0,0,1
20,Luxury Double Room - Thirunelvely,Thirunelvely,Both,Shared,6000.00,4.7,0.00,False,False,False,2.0,budget,0,0,1
21,Executive Single Room - Kantharmadam,Kantharmadam,Both,Single,9000.00,4.5,0.00,False,False,False,1.0,budget,0,0,1
